ID,Direction,Community,Elevator,Floor,TotalFloor,Layout,Price,Region,Renovation,Size,Year
101120980918,南北,保利罗谷小区,有,高楼层,29,2室1厅,310.0,昌平,精装,81.21,
101121188061,南北,垡头西里二区,无,顶层,6,2室1厅,199.0,朝阳,精装,61.24,1984
101113909849,南,融泽嘉园西二路2号院,有,低楼层,34,2室1厅,490.0,昌平,精装,86.98,
101123242105,南北,流星花园三区,有,低楼层,6,2室1厅,439.0,昌平,简装,101.31,2004
101123444822,南北,青荷里南山园,有,中楼层,29,2室1厅,329.0,朝阳,精装,88.03,2015
101124059662,南北,峻峰华亭,有,中楼层,27,3室2厅,1100.0,朝阳,简装,195.12,2004
101123148888,南北,天通西苑一区,有,中楼层,13,3室2厅,535.0,昌平,精装,147.95,2001
101122815677,南北,花家地南里,无,底层,6,2室1厅,330.0,朝阳,简装,63.59,1993
101123256612,南北,嘉铭园,无,低楼层,7,2室1厅,740.0,朝阳,精装,76.89,
101120728571,南北,首创天阅西山,有,中楼层,25,4室2厅,1690.0,海淀,精装,179.73,
101123788688,南北,华龙苑南里,无,底层,6,2室1厅,299.0,昌平,简装,72.79,
101123787545,南,团结湖中路南三条,无,低楼层,6,2室1厅,355.0,朝阳,精装,55.72,1981
101123395441,南北,当代采育满庭春MOMA,有,低楼层,28,2室2厅,153.0,大兴,精装,94.73,
101122279288,西,角门12号院,有,底层,14,1室1厅,228.0,丰台,简装,52.64,2000
101123789220,南北,当代采育满庭春MOMA,有,中楼层,27,3室1厅,177.0,大兴,简装,122.57,
101123344873,东南,新街坊,有,中楼层,19,2室1厅,455.0,朝阳,精装,75.2,2004
101122118025,南北,小乘巷,无,高楼层,6,2室1厅,675.0,西城,简装,54.0,
101123085349,西,京贸中心,有,中楼层,24,2室1厅,258.0,通州,精装,75.62,2005
101121582541,南北西南,西马金润二区,无,低楼层,6,2室1厅,369.0,丰台,毛坯,75.6,1996
101123605005,北,演乐胡同,暂无数据,底层,1,1室0厅,255.0,东城,精装,16.9,
101123190834,东,公园五号,有,高楼层,16,1室0厅,378.0,朝阳,精装,57.05,2010
101123678811,南,汇景苑四区,有,高楼层,17,2室1厅,425.0,朝阳,简装,88.52,
101123938218,西南,国融国际,有,高楼层,21,1室1厅,145.0,亦庄开发区,简装,47.78,
101123028095,南,垡头西里三区,无,顶层,6,2室1厅,189.0,朝阳,简装,55.76,
101122231379,东,富力惠兰美居,有,中楼层,28,1室1厅,145.0,通州,简装,46.1,2015
101123845966,西北,北京新天地二期,有,低楼层,28,1室1厅,298.0,朝阳,精装,66.59,
101122990168,南北,金色漫香林四期,有,中楼层,8,2室1厅,438.0,大兴,精装,90.73,
101122890466,南,瑞雪春堂,有,低楼层,15,1室0厅,158.0,房山,简装,58.25,
101119662744,南北,北礼士路北区,无,底层,5,3室1厅,695.0,西城,简装,63.4,
101122749457,东南北,北街家园一区,有,低楼层,14,3室2厅,619.0,昌平,简装,137.87,
101121117492,西,日坛国际公寓,有,低楼层,18,3室1厅,525.0,朝阳,精装,90.13,
101123563019,南北,华馨园,无,底层,6,2室1厅,299.0,通州,简装,86.27,2003
101124066011,南,中海紫御公馆,有,低楼层,20,2室2厅,1030.0,东城,精装,91.09,2010
101122045186,南北,西营前街,无,中楼层,6,2室1厅,225.0,通州,简装,65.76,1994
101123432399,南北,金地格林格林,有,高楼层,16,1室1厅,210.0,通州,精装,54.93,
101123941747,南,北京新天地一期,有,低楼层,28,2室1厅,494.0,朝阳,简装,100.11,
101124024881,南北,道家园,无,低楼层,7,2室1厅,305.0,朝阳,简装,59.07,1988
101120527519,南,天恒乐活城,有,低楼层,18,2室1厅,159.0,房山,简装,75.25,
101121419256,南北,嘉园二里,无,中楼层,6,2室1厅,310.0,丰台,精装,57.39,
101123412178,东南西,月季园甲7号,无,中楼层,6,3室1厅,825.0,海淀,简装,101.1,
101122949362,东南北,芍药居北里,有,中楼层,24,2室1厅,637.0,朝阳,精装,95.19,
101123427396,西北,瑞都国际南区,有,低楼层,24,1室1厅,240.0,通州,精装,65.04,
101123995066,南北,丰西北里甲7号院,暂无数据,中楼层,6,2室1厅,251.0,丰台,简装,70.56,1998
101122737264,东,横一条,无,中楼层,6,1室1厅,180.0,丰台,精装,41.44,1992
101122655953,南北东,西辛南区,有,中楼层,18,3室1厅,350.0,顺义,精装,145.38,
101124119107,东西,华业东方玫瑰B区,有,中楼层,22,2室1厅,359.0,通州,精装,83.83,2013
101123884657,西,朝阳门南小街,有,高楼层,9,1室1厅,538.0,东城,其他,57.64,2004
101123504322,南西北,燕保祈东家园,有,低楼层,28,3室1厅,359.0,朝阳,简装,94.86,
101123976888,东南,工体南路,有,低楼层,18,3室1厅,725.0,朝阳,简装,87.85,1988
101122507073,南北,建清园,无,中楼层,6,2室1厅,545.0,海淀,简装,68.25,1997
101116518049,西南北,天通西苑三区,有,高楼层,32,3室2厅,455.0,昌平,简装,177.44,2003
101118254733,南,西环里,无,中楼层,5,1室1厅,115.0,昌平,简装,36.07,1986
101123137615,南北,康泽佳苑南区,有,中楼层,18,3室1厅,218.0,房山,毛坯,63.65,2014
101123904557,南,常青藤嘉园,有,底层,16,1室1厅,520.0,西城,简装,62.71,2004
101123829238,东南,设计师广场,有,中楼层,23,1室0厅,149.0,丰台,简装,35.43,
101123158099,南,首经贸中街1号院,有,中楼层,21,2室1厅,485.0,丰台,简装,82.3,2008
101121709352,东北,大城小镇,有,低楼层,11,2室1厅,289.0,大兴,简装,84.38,
101123068232,南西,大黄庄东路,有,高楼层,21,2室1厅,369.0,朝阳,简装,89.53,
101123721562,南北,上京新航线,有,低楼层,25,3室1厅,1128.0,朝阳,精装,132.35,2007
101122587991,南北,幸福时光,无,低楼层,6,2室1厅,730.0,海淀,简装,93.23,2004
101123357406,南,太平桥小区,无,中楼层,6,2室1厅,309.0,丰台,精装,53.56,1987
101123700258,南北,洋桥西里,无,底层,6,2室1厅,280.0,丰台,精装,52.8,1989
101122168956,南北,绿城百合公寓南区,无,顶层,5,4室2厅,235.0,房山,简装,135.33,
101122776930,南北,清枫华景园,有,低楼层,15,1室1厅,432.0,海淀,精装,52.37,
101123941468,南北,北京城建琨廷南区,有,中楼层,15,2室2厅,165.0,房山,精装,86.18,2015
101122659690,南北,居善园,有,中楼层,18,2室2厅,179.0,大兴,精装,89.77,2020
101122030649,南北,红松园1号内,无,中楼层,6,2室1厅,215.0,朝阳,精装,50.59,1976
101122483768,东,远见名苑,有,顶层,24,1室1厅,397.0,西城,简装,52.88,
101123020058,西南,炫特嘉园二期,有,中楼层,28,1室1厅,320.0,朝阳,精装,58.04,
101122718070,南北,永泰西里,无,中楼层,6,2室1厅,399.0,海淀,简装,58.2,1993
101123626141,南北,庑殿家苑C区,有,中楼层,13,2室1厅,325.0,大兴,简装,80.73,
101123985742,南北,昌盛园二区,无,低楼层,6,2室2厅,310.0,昌平,其他,85.25,
101123609427,南,荣丰2008,有,低楼层,20,1室0厅,285.0,西城,精装,25.56,2004
101120573424,西南,北礼士路北区,有,中楼层,13,3室2厅,1430.0,西城,精装,137.3,
101123166040,南北,郑王坟141号院,无,中楼层,5,2室1厅,220.0,丰台,简装,49.5,
101122612564,南北,八里庄北里小区,无,顶层,6,3室2厅,329.0,朝阳,精装,73.43,1984
101124177959,东南,华腾园,有,顶层,28,3室1厅,768.0,朝阳,精装,128.53,2002
101123831661,北南,三合南里,无,低楼层,6,3室1厅,295.0,大兴,简装,82.98,1997
101123145263,南,新桥家园,有,中楼层,24,2室1厅,290.0,门头沟,简装,92.14,
101123176685,西,韩庄子小区,有,中楼层,22,1室1厅,360.0,丰台,简装,74.62,
101123781864,南,华瀚福园C区,有,中楼层,24,1室1厅,179.0,朝阳,精装,54.9,
101124024881,南北,道家园,无,低楼层,7,2室1厅,305.0,朝阳,简装,59.07,1988
101123344873,东南,新街坊,有,中楼层,19,2室1厅,455.0,朝阳,精装,75.2,2004
101122507073,南北,建清园,无,中楼层,6,2室1厅,545.0,海淀,简装,68.25,1997
101116518049,西南北,天通西苑三区,有,高楼层,32,3室2厅,455.0,昌平,简装,177.44,2003
101123085349,西,京贸中心,有,中楼层,24,2室1厅,258.0,通州,精装,75.62,2005
101122991526,南北,三源里北小街,有,低楼层,12,1室1厅,280.0,朝阳,精装,44.2,1982
101122513252,南,首开华润花香四季,有,顶层,21,2室1厅,453.0,丰台,精装,81.39,
101122728572,南北,古城北路,无,顶层,6,2室1厅,159.0,石景山,简装,44.01,1977
101124002016,南北,长阳国际城一区,有,底层,20,3室1厅,365.0,房山,精装,88.92,2012
101124025864,南,荣丰2008,有,中楼层,20,1室0厅,296.0,西城,精装,24.5,2004
101123326315,南北,名佳花园一区,无,中楼层,7,3室2厅,318.0,昌平,精装,116.14,
101124075502,南北,枣园小区,有,中楼层,10,3室1厅,530.0,大兴,简装,134.29,2003
101122749457,东南北,北街家园一区,有,低楼层,14,3室2厅,619.0,昌平,简装,137.87,
101119662744,南北,北礼士路北区,无,底层,5,3室1厅,695.0,西城,简装,63.4,
101121117492,西,日坛国际公寓,有,低楼层,18,3室1厅,525.0,朝阳,精装,90.13,
101123432399,南北,金地格林格林,有,高楼层,16,1室1厅,210.0,通州,精装,54.93,
101123563019,南北,华馨园,无,底层,6,2室1厅,299.0,通州,简装,86.27,2003
101123605005,北,演乐胡同,暂无数据,底层,1,1室0厅,255.0,东城,精装,16.9,
101123678811,南,汇景苑四区,有,高楼层,17,2室1厅,425.0,朝阳,简装,88.52,
101124066011,南,中海紫御公馆,有,低楼层,20,2室2厅,1030.0,东城,精装,91.09,2010
101122045186,南北,西营前街,无,中楼层,6,2室1厅,225.0,通州,简装,65.76,1994
101123941747,南,北京新天地一期,有,低楼层,28,2室1厅,494.0,朝阳,简装,100.11,
101122737264,东,横一条,无,中楼层,6,1室1厅,180.0,丰台,精装,41.44,1992
101122655953,南北东,西辛南区,有,中楼层,18,3室1厅,350.0,顺义,精装,145.38,
101123995066,南北,丰西北里甲7号院,暂无数据,中楼层,6,2室1厅,251.0,丰台,简装,70.56,1998
101123427396,西北,瑞都国际南区,有,低楼层,24,1室1厅,240.0,通州,精装,65.04,
101121928463,南北,中国铁建原香嘉苑,有,高楼层,18,3室1厅,140.0,房山,精装,94.56,
101124182292,西北,阁外山水,有,低楼层,12,1室0厅,137.0,门头沟,精装,48.98,2004
101123829238,东南,设计师广场,有,中楼层,23,1室0厅,149.0,丰台,简装,35.43,
101123137615,南北,康泽佳苑南区,有,中楼层,18,3室1厅,218.0,房山,毛坯,63.65,2014
101123578234,东北,定福家园3号院,有,底层,12,2室1厅,295.0,朝阳,简装,61.58,
101123462542,南北,八里庄东里北巷,无,顶层,5,2室1厅,208.0,朝阳,简装,53.65,
101123064240,南北,北京城建琨廷北区,有,高楼层,9,3室2厅,248.0,房山,简装,126.59,2014
101123960558,东南,太平桥东里,有,低楼层,24,2室1厅,355.0,丰台,简装,56.36,1986
101123574872,西北,宋家庄家园四区,有,低楼层,29,3室1厅,458.0,丰台,精装,89.35,
101122654994,东南,万博苑,有,中楼层,23,2室1厅,879.0,西城,精装,97.04,
101123146829,东西,马家堡东里,无,顶层,6,2室1厅,215.0,丰台,简装,54.6,
101122342815,南北,六里桥小区,无,中楼层,6,3室1厅,428.0,丰台,精装,74.27,1988
101122716435,南北,首开缇香郡二期,有,高楼层,11,2室1厅,198.0,通州,精装,82.5,
101123478892,南北,葛布店东里,无,高楼层,6,2室1厅,235.0,通州,精装,63.33,1991
101123795859,东西,兴房东里社区,无,中楼层,7,2室1厅,116.0,房山,精装,73.89,
101123499041,南,中建雅颂居,有,高楼层,22,2室1厅,279.0,通州,简装,89.39,2012
101123514819,南北,西木樨园,无,中楼层,6,2室1厅,235.0,丰台,简装,57.2,
101124158888,南,长景新园,有,中楼层,11,1室0厅,180.0,房山,简装,48.74,2011
101122695484,西,宝隆温泉公寓,有,高楼层,31,2室1厅,215.0,丰台,简装,59.37,2000
101121928463,南北,中国铁建原香嘉苑,有,高楼层,18,3室1厅,140.0,房山,精装,94.56,
101124182292,西北,阁外山水,有,低楼层,12,1室0厅,137.0,门头沟,精装,48.98,2004
101123701998,东南,点击未来,有,低楼层,14,1室0厅,220.0,朝阳,精装,45.72,2004
101124075502,南北,枣园小区,有,中楼层,10,3室1厅,530.0,大兴,简装,134.29,2003
101123326315,南北,名佳花园一区,无,中楼层,7,3室2厅,318.0,昌平,精装,116.14,
101121580043,南,南十里居,无,顶层,6,1室1厅,228.0,朝阳,精装,49.24,1994
101123654534,南北,东关北里小区,无,中楼层,7,2室1厅,258.0,昌平,精装,75.21,
101122872365,东北,西山华府禧园,无,中楼层,6,1室0厅,385.0,海淀,精装,43.25,
101120943050,东南,牛街东里,有,中楼层,19,1室1厅,450.0,西城,精装,57.34,
101123842494,东,铭科苑,有,中楼层,18,2室1厅,500.0,海淀,简装,86.3,1999
101121208807,南北,新兴家园,有,中楼层,10,2室1厅,212.0,大兴,简装,90.39,
101122818565,南北,金色漫香林三期,有,中楼层,8,3室2厅,458.0,大兴,简装,90.77,2010
101124060622,东,上地东里,无,中楼层,6,2室1厅,666.0,海淀,精装,70.4,1996
101123523946,东北,新街坊,有,中楼层,19,2室1厅,518.0,朝阳,精装,100.19,
101122167954,东西,桃园公寓,无,高楼层,7,3室2厅,246.0,昌平,简装,135.79,1996
101124096424,南北,滨河小区,无,中楼层,6,2室1厅,199.0,顺义,简装,76.5,
101123822957,西,华盛家园,有,高楼层,24,2室2厅,730.0,海淀,简装,80.7,2000
101118254733,南,西环里,无,中楼层,5,1室1厅,115.0,昌平,简装,36.07,1986
101123137615,南北,康泽佳苑南区,有,中楼层,18,3室1厅,218.0,房山,毛坯,63.65,2014
101123904557,南,常青藤嘉园,有,底层,16,1室1厅,520.0,西城,简装,62.71,2004
101123829238,东南,设计师广场,有,中楼层,23,1室0厅,149.0,丰台,简装,35.43,
101123068232,南西,大黄庄东路,有,高楼层,21,2室1厅,369.0,朝阳,简装,89.53,
101121709352,东北,大城小镇,有,低楼层,11,2室1厅,289.0,大兴,简装,84.38,
101123158099,南,首经贸中街1号院,有,中楼层,21,2室1厅,485.0,丰台,简装,82.3,2008
